area,day,label
서울,2022-10-25,2
서울,2022-10-26,2
서울,2022-10-27,2
서울,2022-10-28,2
서울,2022-10-29,2
서울,2022-10-30,2
서울,2022-10-31,2
서울,2022-11-01,2
서울,2022-11-02,13
서울,2022-11-03,13
서울,2022-11-04,13
서울,2022-11-05,13
서울,2022-11-06,13
서울,2022-11-07,2
서울,2022-11-08,2
서울,2022-11-09,2
서울,2022-11-10,2
서울,2022-11-11,2
서울,2022-11-12,2
서울,2022-11-13,13
서울,2022-11-14,13
서울,2022-11-15,13
서울,2022-11-16,13
서울,2022-11-17,13
서울,2022-11-18,13
서울,2022-11-19,2
서울,2022-11-20,2
서울,2022-11-21,2
서울,2022-11-22,13
서울,2022-11-23,13
서울,2022-11-24,13
서울,2022-11-25,2
서울,2022-11-26,13
서울,2022-11-27,13
서울,2022-11-28,2
서울,2022-11-29,13
서울,2022-11-30,12
서울,2022-12-01,12
서울,2022-12-02,9
서울,2022-12-03,15
서울,2022-12-04,12
서울,2022-12-05,9
서울,2022-12-06,9
서울,2022-12-07,15
서울,2022-12-08,15
서울,2022-12-09,15
서울,2022-12-10,15
서울,2022-12-11,15
서울,2022-12-12,15
서울,2022-12-13,9
서울,2022-12-14,12
서울,2022-12-15,12
서울,2022-12-16,12
서울,2022-12-17,12
서울,2022-12-18,12
서울,2022-12-19,12
서울,2022-12-20,9
서울,2022-12-21,9
서울,2022-12-22,12
서울,2022-12-23,12
서울,2022-12-24,12
서울,2022-12-25,12
서울,2022-12-26,9
서울,2022-12-27,9
서울,2022-12-28,12
서울,2022-12-29,9
서울,2022-12-30,9
서울,2022-12-31,9
서울,2023-01-01,9
서울,2023-01-02,12
서울,2023-01-03,12
서울,2023-01-04,9
서울,2023-01-05,9
서울,2023-01-06,9
서울,2023-01-07,15
서울,2023-01-08,15
서울,2023-01-09,15
서울,2023-01-10,15
서울,2023-01-11,15
서울,2023-01-12,15
서울,2023-01-13,1
서울,2023-01-14,1
서울,2023-01-15,9
서울,2023-01-16,12
서울,2023-01-17,9
서울,2023-01-18,9
서울,2023-01-19,9
서울,2023-01-20,12
서울,2023-01-21,12
서울,2023-01-22,9
서울,2023-01-23,9
서울,2023-01-24,12
서울,2023-01-25,12
