                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.78393,                 1.7246,                 1.0103,                 1.0863,                 0.8205,                0.81405,                0.87486,                0.70075,                 0.8174,                0.81012,                0.86654,                0.63137,                 0.7139,                 1.5624,                0.66164,                 1.0942,               0.001585,               0.001585,               0.001585
                     87,                0.77006,                 1.7112,                 1.0018,                 1.0787,                0.81895,                 0.8185,                0.87524,                0.70057,                0.81778,                0.81188,                0.86724,                0.63181,                0.71351,                 1.5617,                0.66114,                 1.0939,               0.001486,               0.001486,               0.001486
                     88,                0.77145,                 1.6999,                0.98918,                 1.0812,                0.81537,                0.82243,                0.87565,                0.70082,                0.81319,                0.81684,                0.86725,                0.63237,                0.71336,                  1.561,                0.66008,                 1.0935,               0.001387,               0.001387,               0.001387
                     89,                0.77268,                  1.712,                0.98855,                 1.0801,                0.82008,                0.81773,                0.87584,                0.70027,                  0.819,                0.81235,                0.86777,                0.63258,                0.71355,                 1.5607,                0.65986,                 1.0934,               0.001288,               0.001288,               0.001288
                     90,                0.76625,                  1.707,                0.98407,                 1.0776,                0.82205,                0.81632,                0.87597,                 0.7009,                0.82018,                0.81213,                0.86748,                0.63209,                0.71284,                   1.56,                0.65832,                 1.0929,               0.001189,               0.001189,               0.001189
                     91,                 0.7636,                 1.6917,                0.98355,                   1.08,                0.82058,                0.81933,                0.87591,                0.70181,                0.81624,                0.81525,                0.86778,                0.63272,                0.71184,                  1.559,                0.65772,                 1.0921,                0.00109,                0.00109,                0.00109
                     92,                0.75806,                 1.6751,                0.96571,                 1.0724,                0.82329,                0.81861,                 0.8763,                 0.7021,                0.82254,                0.80982,                 0.8678,                0.63279,                0.71135,                  1.558,                0.65664,                 1.0916,               0.000991,               0.000991,               0.000991
                     93,                0.75519,                 1.6883,                0.96684,                 1.0701,                0.82854,                0.81549,                0.87668,                0.70247,                0.82401,                0.81077,                0.86838,                0.63354,                0.71073,                  1.557,                 0.6552,                 1.0911,               0.000892,               0.000892,               0.000892
                     94,                0.76095,                 1.6985,                0.96758,                 1.0748,                0.82832,                0.81744,                0.87736,                0.70342,                0.82452,                0.81261,                0.86901,                0.63423,                0.71016,                 1.5561,                0.65416,                 1.0909,               0.000793,               0.000793,               0.000793
                     95,                0.75388,                 1.6788,                0.94487,                  1.071,                0.82744,                0.81925,                 0.8778,                0.70434,                0.82356,                0.81377,                0.86952,                0.63427,                0.70961,                 1.5551,                0.65293,                 1.0902,               0.000694,               0.000694,               0.000694
                     96,                0.74673,                 1.6531,                0.94543,                 1.0674,                0.82931,                0.81792,                0.87814,                0.70546,                0.82484,                0.81288,                0.86992,                0.63501,                0.70914,                 1.5545,                0.65216,                 1.0899,               0.000595,               0.000595,               0.000595
                     97,                0.74128,                 1.6682,                0.93608,                 1.0647,                0.83057,                0.81709,                 0.8785,                0.70551,                0.82644,                0.81127,                0.87035,                0.63499,                0.70886,                 1.5539,                0.65146,                 1.0896,               0.000496,               0.000496,               0.000496
                     98,                0.73986,                  1.662,                0.92869,                 1.0628,                0.82905,                0.81721,                0.87876,                0.70574,                0.82634,                0.81122,                 0.8708,                0.63509,                0.70802,                 1.5537,                0.65151,                 1.0886,               0.000397,               0.000397,               0.000397
                     99,                0.74343,                 1.6549,                0.93016,                 1.0667,                0.82974,                0.81769,                 0.8789,                0.70567,                0.82694,                 0.8124,                0.87114,                0.63535,                0.70789,                 1.5533,                0.65093,                 1.0885,               0.000298,               0.000298,               0.000298
